call,title,href
https://api.w3.org/users/3khtfzzn050kwk40k4o8wgo4cckcc08/affiliations,TeliportMe,https://api.w3.org/affiliations/95999
https://api.w3.org/users/t9zsi87ons0k4ks4gg8cooowowcsc8s/affiliations,Qualcomm,https://api.w3.org/affiliations/126045
https://api.w3.org/users/73wnr97w4so4wswkgswg0w4sos8040g/affiliations,MetaVRse,https://api.w3.org/affiliations/104800
https://api.w3.org/users/t316txchwrkg84ssw404goo4g8owsk0/affiliations,bThere,https://api.w3.org/affiliations/92763
https://api.w3.org/users/flcylfpq8a8s8kcsosoc4s80ckock0s/affiliations,Rochester Institute of Technology,https://api.w3.org/affiliations/42300
https://api.w3.org/users/8bsy2vmb6o00404swws8ow4gw8g4gkc/affiliations,National Film Board of Canada,https://api.w3.org/affiliations/84459
https://api.w3.org/users/8hjhnx7j97okw0w08kgsgwckw0w4ks/affiliations,Dassault Systèmes,https://api.w3.org/affiliations/73023
https://api.w3.org/users/7jbmhxwsumosok84o8w4kgcwgkgskwg/affiliations,Zappar Limited,https://api.w3.org/affiliations/136825
https://api.w3.org/users/fc2t3qukt9w8wg884ok4wc4kgc0s4w0/affiliations,TATA ELXSI,https://api.w3.org/affiliations/66390
https://api.w3.org/users/99jmdzg3wkcg4kc0sw8gwk4oscw4kk0/affiliations,Microsoft Corporation,https://api.w3.org/affiliations/1066
https://api.w3.org/users/rsxngktwuisko00gg84g0owo8goskcs/affiliations,8th Wall,https://api.w3.org/affiliations/109675
https://api.w3.org/users/5xzc67db700sgwoo08o0kwoww880o4g/affiliations,hok,https://api.w3.org/affiliations/106356
https://api.w3.org/users/onls2932x2oso4w4gog8co00k4gkosw/affiliations,Apple Inc.,https://api.w3.org/affiliations/1202
https://api.w3.org/users/ecea9uooi08o48ogwsc8ss4wkgssok/affiliations,Awwwards.com,https://api.w3.org/affiliations/92831
https://api.w3.org/users/ebe9a8tj9zscsswkw44sw8w8kwgckgw/affiliations,Magic Industries,https://api.w3.org/affiliations/99790
https://api.w3.org/users/e0bblvk172g4kgcswg0s4kkswc4ogsg/affiliations,Microsoft Corporation,https://api.w3.org/affiliations/1066
https://api.w3.org/users/3q6g0sg2gl0kwggccgso008gs88sg48/affiliations,E-spaces,https://api.w3.org/affiliations/98293
https://api.w3.org/users/e4briplq19ck8w08oc4k4k04occwcgo/affiliations,Igalia,https://api.w3.org/affiliations/62028
https://api.w3.org/users/k6q62i5ij6ogw8w4kg0ocs0oo04o8og/affiliations,POP LLC,https://api.w3.org/affiliations/145311
https://api.w3.org/users/f28eb0ox31kosgw08kcoksk04sgos4c/affiliations,Amazon,https://api.w3.org/affiliations/108617
https://api.w3.org/users/5jr6wjhxz80ssos00w4csck4sscsw0w/affiliations,Defense Information Systems Agency,https://api.w3.org/affiliations/1219
https://api.w3.org/users/69dx0bg012o88k44wk8wsw0wcg8sgc0/affiliations,Google LLC,https://api.w3.org/affiliations/35662
https://api.w3.org/users/r2yend2eoa8s0g4scko44sw4cwowogc/affiliations,Imagination Labs,https://api.w3.org/affiliations/94906
https://api.w3.org/users/8nl6sfjrm7sw0o8ksw8o0o0k0o00sw0/affiliations,Internet Academy,https://api.w3.org/affiliations/52534
https://api.w3.org/users/m99jqkpi9m8oww84kw4gwccgc4g0ogs/affiliations,W3C Invited Experts,https://api.w3.org/affiliations/36747
https://api.w3.org/users/rwy6fx8dlzk88w84gkgg0cs48gkksws/affiliations,MediaTek Inc,https://api.w3.org/affiliations/53409
https://api.w3.org/users/hukur4peftc88okw4go44cswow4k8ow/affiliations,SouthAmerica.travel,https://api.w3.org/affiliations/111101
https://api.w3.org/users/mo0smciwlgggw48s08oc08kwkk40w44/affiliations,"JWB Management Group, Inc.",https://api.w3.org/affiliations/111833
https://api.w3.org/users/n0wlo9ygb9wsos0ko4kg448sww8kog8/affiliations,8th Light,https://api.w3.org/affiliations/84420
https://api.w3.org/users/t4grzebe0z4sskoggo0go4ww4oowwcs/affiliations,STI Innsbruck,https://api.w3.org/affiliations/85167
https://api.w3.org/users/7lylt6lyod8ggs8o4o8okokss8kk8sg/affiliations,Sozialhelden e.V.,https://api.w3.org/affiliations/116955
https://api.w3.org/users/gjgwd8re6wgs8w48o8wc00ws0wcco0w/affiliations,21Style s.a.s.,https://api.w3.org/affiliations/77395
https://api.w3.org/users/lwlf98dg3hso04s88o884kck040cc44/affiliations,Apache Software Foundation,https://api.w3.org/affiliations/43420
https://api.w3.org/users/j4rz09hqh68skck4scsw0go084gw8wc/affiliations,2 Open China Ecommerce,https://api.w3.org/affiliations/91563
https://api.w3.org/users/buoymb9xaygw4kg8scgosso48cwk80k/affiliations,EcoVoyageMongolie.Com,https://api.w3.org/affiliations/121119
https://api.w3.org/users/ougav77q1xwo4g40wgcc08s40coc44c/affiliations,SemanticMarker,https://api.w3.org/affiliations/78613
https://api.w3.org/users/h66brnj0z6okkowcoc8ck0ck8gswwcs/affiliations,"CNR-ISTI (Istituto di Scienza e Tecnologie dell'Informazione ""A. Faedo"")",https://api.w3.org/affiliations/9850
https://api.w3.org/users/jym75t27cls8k0o444c84so8wsg0ssw/affiliations,Radienced,https://api.w3.org/affiliations/85208
https://api.w3.org/users/ly61lb6syf44ck8wooosk8084ggo00g/affiliations,Egypt Tours Portal,https://api.w3.org/affiliations/114010
https://api.w3.org/users/hgw13rclu3so8wg8ssgwg8880wcwcco/affiliations,"StrikeHawk eCommerce, Inc.",https://api.w3.org/affiliations/85193
https://api.w3.org/users/76dv5hh0fkg8kkgo48kwg0kcow0cgcg/affiliations,Universidad Complutense de Madrid,https://api.w3.org/affiliations/68196
https://api.w3.org/users/cftrd9iratwssosk4s0c44sowoc004c/affiliations,ISMB,https://api.w3.org/affiliations/96519
https://api.w3.org/users/evx7m56g8n40gccksgwkckso0s84oco/affiliations,Westtoer,https://api.w3.org/affiliations/146082
https://api.w3.org/users/ktxewgr3hkgo0oo0kkgswgk8c48ggc8/affiliations,Sismotur,https://api.w3.org/affiliations/84192
https://api.w3.org/users/7xpqbijnqewwkc8okwk8c488c8k8gkk/affiliations,Grupo Net Global,https://api.w3.org/affiliations/113037
