id,name,discr,is-member,is-member-association,call
133520,"SnT Interdisciplinary Centre for Security Reliability and Trust, University of Luxembourg",organization,False,False,https://api.w3.org/affiliations/133520
129801,IDmachines LLC,organization,False,False,https://api.w3.org/affiliations/129801
54079,Indiana University,organization,False,False,https://api.w3.org/affiliations/54079
130201,Karlstad University,organization,False,False,https://api.w3.org/affiliations/130201
131309,Offen,organization,False,False,https://api.w3.org/affiliations/131309
129765,noyb,organization,False,False,https://api.w3.org/affiliations/129765
136402,Cloud Privacy Labs,organization,False,False,https://api.w3.org/affiliations/136402
142271,Privacy Experience Agency,organization,False,False,https://api.w3.org/affiliations/142271
116240,MakeMusic.tn,organization,False,False,https://api.w3.org/affiliations/116240
119601,Louisiana State University,organization,False,False,https://api.w3.org/affiliations/119601
69956,University of York,organization,False,False,https://api.w3.org/affiliations/69956
144614,Subsonic It Ltd,organization,False,False,https://api.w3.org/affiliations/144614
113789,Art of Context,organization,False,False,https://api.w3.org/affiliations/113789
133801,InVideo,organization,False,False,https://api.w3.org/affiliations/133801
65515,Focusrite Audio Engineering Ltd.,organization,False,False,https://api.w3.org/affiliations/65515
151796,"Cejetvole, LLC",organization,False,False,https://api.w3.org/affiliations/151796
113752,Amptrack Technologies AB,organization,False,False,https://api.w3.org/affiliations/113752
110745,Subcity Radio,organization,False,False,https://api.w3.org/affiliations/110745
113650,Ableton AG,organization,False,False,https://api.w3.org/affiliations/113650
154337,Bose,organization,False,False,https://api.w3.org/affiliations/154337
142936,GLEIF,organization,True,False,https://api.w3.org/affiliations/142936
101393,Whole Bean Software LTD,organization,False,False,https://api.w3.org/affiliations/101393
54317,Newphoria Corporation,organization,True,False,https://api.w3.org/affiliations/54317
57557,GlobalLogic,organization,False,False,https://api.w3.org/affiliations/57557
79457,Locus A/S,organization,False,False,https://api.w3.org/affiliations/79457
142892,Entropy,organization,False,False,https://api.w3.org/affiliations/142892
118423,Trail of Bits,organization,False,False,https://api.w3.org/affiliations/118423
83535,Praxent,organization,False,False,https://api.w3.org/affiliations/83535
90822,APPUX,organization,False,False,https://api.w3.org/affiliations/90822
138465,Manabie,organization,False,False,https://api.w3.org/affiliations/138465
71214,University of Georgia,organization,False,False,https://api.w3.org/affiliations/71214
140213,NetValue,organization,False,False,https://api.w3.org/affiliations/140213
108401,Columbus State Community College,organization,False,False,https://api.w3.org/affiliations/108401
